Date,Country,City,Specie,count,min,max,median,variance
01.26,BD,Dhaka,temperature,24,13.0,23.5,17.0,107.01
03.20,BD,Dhaka,temperature,24,23.0,33.0,25.0,112.17
05.10,BD,Dhaka,temperature,24,25.0,33.0,27.0,77.81
05.28,BD,Dhaka,temperature,24,24.0,31.0,28.5,56.07
01.05,BD,Dhaka,temperature,24,16.0,23.0,18.5,33.75
03.25,BD,Dhaka,temperature,24,22.0,34.0,27.0,158.26
01.28,BD,Dhaka,temperature,24,14.0,24.0,19.0,118.89
03.03,BD,Dhaka,temperature,3,21.0,22.0,21.0,3.33
03.29,BD,Dhaka,temperature,23,24.0,36.0,29.5,158.51
05.24,BD,Dhaka,temperature,24,27.0,33.0,29.0,40.71
04.09,BD,Dhaka,temperature,24,26.0,36.0,29.5,114.34
05.11,BD,Dhaka,temperature,23,25.0,33.0,28.0,75.98
05.16,BD,Dhaka,temperature,24,24.0,35.0,30.0,154.57
01.19,BD,Dhaka,temperature,24,17.0,27.0,20.0,107.10
01.31,BD,Dhaka,temperature,24,18.0,25.0,20.0,49.13
02.29,BD,Dhaka,temperature,18,19.5,32.0,26.5,159.26
03.26,BD,Dhaka,temperature,24,23.0,35.0,28.0,175.65
05.09,BD,Dhaka,temperature,24,26.0,33.0,29.5,37.50
05.12,BD,Dhaka,temperature,24,25.0,33.0,30.0,60.10
01.13,BD,Dhaka,temperature,24,12.0,22.0,16.5,117.68
01.16,BD,Dhaka,temperature,24,15.0,27.5,19.0,182.81
02.09,BD,Dhaka,temperature,11,17.0,22.5,19.0,19.55
03.07,BD,Dhaka,temperature,24,21.0,28.5,22.5,41.50
03.27,BD,Dhaka,temperature,24,24.0,35.0,29.0,148.24
01.27,BD,Dhaka,temperature,24,13.0,23.0,17.0,121.41
02.28,BD,Dhaka,temperature,20,18.0,30.0,24.0,156.29
03.22,BD,Dhaka,temperature,24,21.5,31.0,24.5,92.50
04.30,BD,Dhaka,temperature,24,23.0,31.0,25.0,63.70
01.06,BD,Dhaka,temperature,24,15.0,22.0,17.5,62.35
01.15,BD,Dhaka,temperature,24,15.0,25.5,19.0,108.03
03.02,BD,Dhaka,temperature,24,20.0,31.0,25.0,158.68
04.25,BD,Dhaka,temperature,24,23.0,31.0,25.0,88.62
05.01,BD,Dhaka,temperature,24,24.0,29.0,25.0,22.46
02.04,BD,Dhaka,temperature,24,14.0,25.0,19.0,142.06
03.09,BD,Dhaka,temperature,24,19.0,30.0,24.0,123.68
03.17,BD,Dhaka,temperature,24,22.5,32.0,26.0,113.62
03.19,BD,Dhaka,temperature,24,20.0,32.5,26.0,149.33
04.27,BD,Dhaka,temperature,24,22.0,32.5,25.5,134.67
04.14,BD,Dhaka,temperature,24,26.0,36.0,30.0,104.28
01.17,BD,Dhaka,temperature,24,16.0,29.0,20.0,189.40
02.27,BD,Dhaka,temperature,20,18.0,26.5,21.0,75.91
03.06,BD,Dhaka,temperature,24,20.5,31.0,24.0,90.63
03.10,BD,Dhaka,temperature,24,18.0,30.5,24.0,157.39
03.16,BD,Dhaka,temperature,24,22.0,33.0,26.0,179.76
03.31,BD,Dhaka,temperature,24,23.0,36.0,28.0,217.10
01.20,BD,Dhaka,temperature,23,16.0,24.0,19.0,37.41
01.24,BD,Dhaka,temperature,24,14.0,25.0,17.5,133.44
02.02,BD,Dhaka,temperature,24,15.0,24.0,18.0,98.33
03.18,BD,Dhaka,temperature,24,22.0,32.0,26.0,106.50
04.23,BD,Dhaka,temperature,24,24.0,32.0,25.5,61.94
04.17,BD,Dhaka,temperature,24,26.0,33.0,27.0,44.89
02.06,BD,Dhaka,temperature,24,15.0,25.0,19.5,116.30
03.30,BD,Dhaka,temperature,24,24.0,35.0,28.0,157.23
05.05,BD,Dhaka,temperature,24,25.0,35.0,27.5,135.54
05.26,BD,Dhaka,temperature,24,27.0,33.0,29.0,39.02
04.28,BD,Dhaka,temperature,24,24.0,30.0,25.0,21.73
01.04,BD,Dhaka,temperature,24,17.0,23.0,19.0,51.41
01.11,BD,Dhaka,temperature,24,14.0,18.0,17.0,16.72
02.08,BD,Dhaka,temperature,24,17.0,24.0,19.0,49.23
03.21,BD,Dhaka,temperature,24,21.0,34.0,26.0,167.23
01.08,BD,Dhaka,temperature,24,14.0,22.0,16.0,75.87
02.01,BD,Dhaka,temperature,24,15.0,25.0,18.0,106.19
04.01,BD,Dhaka,temperature,24,24.0,37.0,28.5,220.54
04.08,BD,Dhaka,temperature,24,27.0,32.0,28.0,25.72
05.17,BD,Dhaka,temperature,24,27.0,34.0,30.0,50.29
04.21,BD,Dhaka,temperature,24,24.0,31.0,26.0,39.89
01.10,BD,Dhaka,temperature,24,16.0,24.0,18.0,67.66
01.18,BD,Dhaka,temperature,24,17.5,29.0,21.5,155.87
02.25,BD,Dhaka,temperature,5,19.5,21.0,21.0,4.50
03.05,BD,Dhaka,temperature,24,20.0,30.0,25.0,116.88
04.12,BD,Dhaka,temperature,24,22.0,31.0,25.5,94.49
04.20,BD,Dhaka,temperature,24,23.0,32.0,27.5,68.22
01.12,BD,Dhaka,temperature,24,14.0,18.0,15.0,13.69
01.03,BD,Dhaka,temperature,12,18.0,20.0,19.5,5.61
02.26,BD,Dhaka,temperature,24,18.0,27.0,21.0,108.97
05.06,BD,Dhaka,temperature,24,23.0,31.5,26.5,69.89
01.07,BD,Dhaka,temperature,24,13.0,18.0,15.0,22.97
03.04,BD,Dhaka,temperature,4,21.0,25.5,21.0,50.62
03.11,BD,Dhaka,temperature,24,20.0,32.0,25.0,159.33
03.12,BD,Dhaka,temperature,24,21.0,33.0,26.0,161.52
04.10,BD,Dhaka,temperature,24,25.0,37.0,28.0,171.30
05.15,BD,Dhaka,temperature,24,25.5,34.0,28.0,51.50
05.29,BD,Dhaka,temperature,24,26.0,34.0,27.0,72.10
03.14,BD,Dhaka,temperature,24,23.0,32.5,26.0,79.33
04.16,BD,Dhaka,temperature,24,21.0,33.0,28.0,193.68
05.18,BD,Dhaka,temperature,24,27.0,34.0,29.5,63.37
05.19,BD,Dhaka,temperature,11,28.0,32.0,28.5,16.73
05.25,BD,Dhaka,temperature,24,28.0,33.0,29.0,28.69
04.02,BD,Dhaka,temperature,24,23.5,37.0,26.5,198.10
04.11,BD,Dhaka,temperature,24,23.0,37.0,28.0,219.99
05.08,BD,Dhaka,temperature,24,23.0,34.0,29.0,160.54
05.23,BD,Dhaka,temperature,23,28.0,32.0,29.5,23.16
01.22,BD,Dhaka,temperature,24,14.0,24.0,18.5,128.46
02.05,BD,Dhaka,temperature,24,15.5,26.0,20.5,116.70
03.24,BD,Dhaka,temperature,24,21.0,32.0,26.0,126.45
04.07,BD,Dhaka,temperature,24,26.0,38.0,29.5,190.05
04.15,BD,Dhaka,temperature,24,24.0,33.0,27.5,73.22
05.07,BD,Dhaka,temperature,24,23.0,33.0,26.5,116.95
01.09,BD,Dhaka,temperature,24,16.0,22.0,19.0,29.98
03.08,BD,Dhaka,temperature,13,22.0,28.0,26.5,35.83
03.23,BD,Dhaka,temperature,24,20.0,31.0,26.0,129.09
05.02,BD,Dhaka,temperature,24,23.5,29.5,26.0,26.01
05.14,BD,Dhaka,temperature,24,24.0,34.0,29.0,104.57
03.28,BD,Dhaka,temperature,24,26.0,36.0,29.0,128.37
05.27,BD,Dhaka,temperature,24,23.0,30.0,26.0,38.97
01.29,BD,Dhaka,temperature,23,16.5,24.5,19.0,41.12
02.03,BD,Dhaka,temperature,24,13.0,23.5,17.0,121.09
04.04,BD,Dhaka,temperature,19,24.0,36.0,28.0,183.19
04.06,BD,Dhaka,temperature,24,24.0,38.0,28.5,267.93
04.22,BD,Dhaka,temperature,24,23.0,33.0,27.5,103.91
04.24,BD,Dhaka,temperature,24,13.5,30.0,23.0,111.67
05.03,BD,Dhaka,temperature,24,23.0,32.0,27.0,84.76
01.14,BD,Dhaka,temperature,24,13.0,23.0,18.0,88.03
01.21,BD,Dhaka,temperature,24,14.0,24.0,17.5,129.13
01.23,BD,Dhaka,temperature,24,16.0,24.0,18.0,71.67
02.07,BD,Dhaka,temperature,24,17.0,25.0,19.0,61.67
03.15,BD,Dhaka,temperature,24,21.0,33.0,25.0,171.59
04.13,BD,Dhaka,temperature,24,26.0,33.0,29.0,51.52
01.25,BD,Dhaka,temperature,24,13.0,24.0,17.5,151.30
01.30,BD,Dhaka,temperature,24,17.0,24.0,20.0,52.75
03.01,BD,Dhaka,temperature,24,18.0,31.5,25.0,177.82
04.05,BD,Dhaka,temperature,24,25.0,35.5,28.0,110.32
05.04,BD,Dhaka,temperature,24,25.0,35.0,29.0,122.06
03.13,BD,Dhaka,temperature,24,23.0,33.5,28.0,142.16
04.03,BD,Dhaka,temperature,24,23.0,34.0,26.0,134.09
04.18,BD,Dhaka,temperature,24,24.5,35.0,26.0,126.70
04.19,BD,Dhaka,temperature,24,23.0,35.5,29.5,193.11
05-13,BD,Dhaka,temperature,24,25.0,34.0,28.5,83.87
05.30,BD,Dhaka,temperature,24,25.0,32.0,27.5,49.52
04.26,BD,Dhaka,temperature,24,22.0,31.5,23.0,65.14
04.29,BD,Dhaka,temperature,24,24.0,31.5,25.5,62.17
